source,target,relationship_type,qualificacao_socio
TERNI PARTICIPACOES LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
EAGLES VISION LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
EAGLES VISION LTDA.,EAGLES BRASIL PARTICIPACOES LTDA.,company_to_socio,22
MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,16
MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
EUKARYOTA PARTICIPACOES S/A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
EUKARYOTA PARTICIPACOES S/A.,HENRIQUE MOURA VORCARO,company_to_socio,16
BELO PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
BELO PARTICIPACOES LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
RENATO TOMAIN LTDA,RENATO TOMAIN,company_to_socio,49
FALCON BH INVESTIMENTOS LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
FALCON BH INVESTIMENTOS LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
RONIE A. T. TOMBA LTDA,RONIE AUGUSTO TEIXEIRA TOMBA,company_to_socio,49
MILO INVESTIMENTOS S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
MILO INVESTIMENTOS S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
GALPAO CONTAGEM PARTICIPACOES LTDA.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
GALPAO CONTAGEM PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
GALPAO CONTAGEM PARTICIPACOES LTDA.,MILO INVESTIMENTOS S.A.,company_to_socio,22
GALPAO CONTAGEM PARTICIPACOES LTDA.,GUARA EMPREENDIMENTOS E APOIO ADMINISTRATIVO LTDA,company_to_socio,22
PROSPERAR EMPREENDIMENTOS DE VENDAS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
PROSPERAR EMPREENDIMENTOS DE VENDAS LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
HMV PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,49
HMV PARTICIPACOES LTDA.,ALINE BUENO RIBEIRO VORCARO,company_to_socio,22
FANSI BAZAR E COMERCIO LTDA,JIE LIN,company_to_socio,49
"MINI-RAPADURA ""IDEAL"" SOCIEDADE COMERCIAL LTDA",HENRIQUE MOURA VORCARO,company_to_socio,49
"MINI-RAPADURA ""IDEAL"" SOCIEDADE COMERCIAL LTDA",JACQUES GABRIEL VORCARO HORTA,company_to_socio,49
"MINI-RAPADURA ""IDEAL"" SOCIEDADE COMERCIAL LTDA",JOSE CARLOS ISIDORO AVELINO,company_to_socio,49
"MINI-RAPADURA ""IDEAL"" SOCIEDADE COMERCIAL LTDA",RODRIGO CAMARGOS DE MAGALHAES PINTO,company_to_socio,49
DAVALOVI ENGENHARIA E CONSTRUCAO LTDA,ANDRE LUIZ SIQUEIRA DOS SANTOS,company_to_socio,49
MULTIMAX PARTICIPACOES S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
MULTIMAX PARTICIPACOES S/A,HENRIQUE MOURA VORCARO,company_to_socio,10
INFINITY PARTICIPACOES S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
INFINITY PARTICIPACOES S/A,HENRIQUE MOURA VORCARO,company_to_socio,10
MC SOLUCOES DIGITAIS LTDA,MARCELO CHAVES DOS SANTOS,company_to_socio,49
PARK PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
PARK PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
TROPEIRO LOCACOES LTDA,VILSO DALLA COSTA FILHO,company_to_socio,49
ELEICOES 2004 CF - PIRANGUCU - MG - COMITE FINANC MUN P/VEREADOR - PL,ANNA ISABEL RIBEIRO DA SILVA,company_to_socio,16
BLUE BAHIA LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
BLUE BAHIA LTDA,BLUE BAHIA LTDA,company_to_socio,22
SOZO PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,5
SOZO PARTICIPACOES S.A.,SOZO PARTICIPACOES S.A.,company_to_socio,63
HEBRON PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,49
HEBRON PARTICIPACOES LTDA.,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,company_to_socio,22
DINIZ ENGENHARIA SOLUCOES INDUSTRIAIS LTDA,PAULO RICARDO SOUZA DINIZ,company_to_socio,49
MC PERFORMANCE MARKETING LTDA,MARCELO CHAVES DOS SANTOS,company_to_socio,49
GNI11 EMPREENDIMENTOS IMOBILIARIOS S.A.,HENRIQUE MOURA VORCARO,company_to_socio,16
GNI11 EMPREENDIMENTOS IMOBILIARIOS S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
SB SOUZA COMERCIAL LTDA,JOAO HENRIQUE DE SOUZA,company_to_socio,49
SB SOUZA COMERCIAL LTDA,GERALDA REGINA DE SOUZA,company_to_socio,49
RENOVO RECICLAGEM DE RESIDUOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
RENOVO RECICLAGEM DE RESIDUOS LTDA,EDILSON OLIVEIRA DE SOUZA,company_to_socio,49
SHINE BAZAR E COSMETICOS LTDA,JIE LIN,company_to_socio,49
VORCARO EMPREENDIMENTOS LTDA,MERCATO CONSULTORIA IMOBILIARIA LTDA.,company_to_socio,22
VORCARO EMPREENDIMENTOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
ALLIANCE PARTICIPACOES S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
ALLIANCE PARTICIPACOES S/A,HENRIQUE MOURA VORCARO,company_to_socio,16
REINO GROUP PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
REINO GROUP PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
REINO GROUP PARTICIPACOES S.A.,INDICO PARTICIPACOES S/A,company_to_socio,63
REINO GROUP PARTICIPACOES S.A.,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,63
EUFRATES EMPREENDIMENTOS E PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,49
EUFRATES EMPREENDIMENTOS E PARTICIPACOES LTDA.,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,company_to_socio,22
VORCAUTO VEICULOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
VORCAUTO VEICULOS LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
VORCAUTO VEICULOS LTDA,MERCATTO INCORPORACOES IMOBILIARIAS LTDA,company_to_socio,22
VORCAUTO VEICULOS LTDA,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,MERCATO CONSULTORIA IMOBILIARIA LTDA.,company_to_socio,22
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,JOAO LUCAS MAZONI ANDRADE,company_to_socio,5
PQS EMPREENDIMENTOS EDUCACIONAIS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
GOLDEN IMOVEIS LTDA.,MILO INVESTIMENTOS S.A.,company_to_socio,22
GOLDEN IMOVEIS LTDA.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
GOLDEN IMOVEIS LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
LABORATORIO CONCEICAO APARECIDA LTDA,JONAS MIGUEL VILELA,company_to_socio,49
LABORATORIO CONCEICAO APARECIDA LTDA,HELTON JONAS GONCALVES VILELA,company_to_socio,22
VEM SORRIR CLINICA DO POVO LTDA,TUANE FERNANDES MENALI PEREIRA,company_to_socio,49
VEM SORRIR CLINICA DO POVO LTDA,JULIO OLIMPIO DE CARVALHO,company_to_socio,5
VEM SORRIR CLINICA DO POVO LTDA,MARIELY LACERDA DOS SANTOS,company_to_socio,49
VEM SORRIR CLINICA DO POVO LTDA,IMPLANTE FELIZ PARTICIPACOES LTDA,company_to_socio,22
TROPICAL CLUBE DE MINAS GERAIS,HENRIQUE MOURA VORCARO,company_to_socio,16
RETIRO PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
RETIRO PARTICIPACOES LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
ANTONIO CARLOS TOWER LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
ANTONIO CARLOS TOWER LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
WEST PARTICIPACOES LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
WEST PARTICIPACOES LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
GOLDEN TOWER EMPREENDIMENTOS IMOBILIARIOS S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
GOLDEN TOWER EMPREENDIMENTOS IMOBILIARIOS S/A,HENRIQUE MOURA VORCARO,company_to_socio,16
CITY GARDEN ARBORIZACAO URBANA LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
CITY GARDEN ARBORIZACAO URBANA LTDA,MIRIAM SALEM ASSEF,company_to_socio,5
CITY GARDEN ARBORIZACAO URBANA LTDA,CITY GARDEM EMPREENDIMENTOS URBANOS E CONSTRUCAO CIVIL LTDA,company_to_socio,22
CITY GARDEN ARBORIZACAO URBANA LTDA,MERCATO CONSULTORIA IMOBILIARIA LTDA.,company_to_socio,22
LAB ANALISES CLINICAS CONCEICAO APARECIDA S/C LTDA,SONIA GONCALVES VILELA,company_to_socio,49
LAB ANALISES CLINICAS CONCEICAO APARECIDA S/C LTDA,JONAS MIGUEL VILELA,company_to_socio,49
SPE CESTO INCORPORADORA S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
SPE CESTO INCORPORADORA S.A.,HENRIQUE MOURA VORCARO,company_to_socio,16
TOTES MANUTENCAO LTDA,WELLINGTON EDUARDO FERREIRA,company_to_socio,49
TOTES MANUTENCAO LTDA,WELISON EDUARDO FERREIRA,company_to_socio,22
JULIO LOURENCO NETO E CIA LTDA,JULIO LOURENCO NETO,company_to_socio,49
JULIO LOURENCO NETO E CIA LTDA,LUANDA CONRADO SACRAMENTO PAIVA,company_to_socio,22
SUPERMERCADO MG DA ECONOMIA LTDA,DEISE LUCIA CASSIANO COBO ARAUJO,company_to_socio,49
MOUNTAIN PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
MOUNTAIN PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
PORTO HOLDING S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
PORTO HOLDING S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
REDE IMOBILIARIA LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
REDE IMOBILIARIA LTDA.,REDE SAUDE PARTICIPACOES LTDA.,company_to_socio,22
REDE IMOBILIARIA LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
LCN MERCEARIA E COMERCIO DE BEBIDAS LTDA,MAURICIO PEREIRA DA SILVA,company_to_socio,49
CSS EMPREENDIMENTOS E PARTICIPACOES LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
CSS EMPREENDIMENTOS E PARTICIPACOES LTDA,MERCATO CONSULTORIA IMOBILIARIA LTDA.,company_to_socio,22
HV EMPREENDIMENTOS E PARTICIPACOES LTDA,HENRIQUE MOURA VORCARO,company_to_socio,49
SUN CLEAN DO BRASIL LTDA.,CICERO GOMES FONSECA,company_to_socio,49
SUN CLEAN DO BRASIL LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,49
CENTRO SUL EMPREENDIMENTOS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
CENTRO SUL EMPREENDIMENTOS LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
CENTRO SUL EMPREENDIMENTOS LTDA,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
MERCATO CONSULTORIA IMOBILIARIA LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
MERCATO CONSULTORIA IMOBILIARIA LTDA.,ALLIANCE PARTICIPACOES S/A,company_to_socio,22
MERCATO CONSULTORIA IMOBILIARIA LTDA.,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
EAGLES BRASIL PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
EAGLES BRASIL PARTICIPACOES LTDA.,SOZO PARTICIPACOES S.A.,company_to_socio,22
LIFE HOLDING LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
LIFE HOLDING LTDA,HV EMPREENDIMENTOS E PARTICIPACOES LTDA,company_to_socio,22
LIFE HOLDING LTDA,NATALIA BUENO VORCARO ZETTEL,company_to_socio,5
MOUNTAIN II PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,16
MOUNTAIN II PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,10
REINO PARTICIPACOES S.A.,HENRIQUE MOURA VORCARO,company_to_socio,16
REINO PARTICIPACOES S.A.,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
INTER PARTICIPACOES LTDA,MERCATTO INCORPORACOES IMOBILIARIAS LTDA,company_to_socio,22
INTER PARTICIPACOES LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
INTER PARTICIPACOES LTDA,FUNDO DE INVESTIMENTO IMOBILIARIO MIRANTE DAS AGUAS,company_to_socio,22
PACIFIC REALTY S/A,NATALIA BUENO VORCARO ZETTEL,company_to_socio,10
PACIFIC REALTY S/A,HENRIQUE MOURA VORCARO,company_to_socio,16
NOVA IGUACU PARTICIPACOES LTDA.,HENRIQUE MOURA VORCARO,company_to_socio,5
NOVA IGUACU PARTICIPACOES LTDA.,HEBRON PARTICIPACOES LTDA.,company_to_socio,22
LAJES PIRANGUCU LTDA,ANNA ISABEL RIBEIRO DA SILVA,company_to_socio,49
MENDONCA BITTENCOURT PARTICIPACOES LTDA,PRISCILLA MENDONCA BITTENCOURT SEIXLACK,company_to_socio,49
MERCATTO INCORPORACOES IMOBILIARIAS LTDA,HENRIQUE MOURA VORCARO,company_to_socio,5
MERCATTO INCORPORACOES IMOBILIARIAS LTDA,MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,company_to_socio,22
MERCATTO INCORPORACOES IMOBILIARIAS LTDA,PACIFIC REALTY S/A,company_to_socio,22
JULIO LOURENCO NETO,SPACE JET ESCOLA DE AVIACAO CIVIL SOCIEDADE CIVIL LTDA,socio_to_company,22
CICERO GOMES FONSECA,CONFECCOES LETIHU MODAS LTDA,socio_to_company,22
JOSE CARLOS ISIDORO AVELINO,ALVIM AYRES ADVOGADOS,socio_to_company,49
JULIO OLIMPIO DE CARVALHO,MINAS OURO COMERCIO E REPRESENTACOES LTDA,socio_to_company,22
JOSE JUNIOR FIORENTINO NASSER,CLERIA PAIVA PEREIRA E CIA LTDA,socio_to_company,22
HELTON JONAS GONCALVES VILELA,HELTON JONAS G. VILELA & CIA LTDA,socio_to_company,49
HENRIQUE MOURA VORCARO,HELTON JONAS G. VILELA & CIA LTDA,socio_to_company,22
LUIZ ROBERTO DA CUNHA MAIA,FLORICULTURA LC LTDA,socio_to_company,49
WESLEY WADSON CASTRO SILVA,REINALDO ADRIANO BISPO DE OLIVEIRA E CAMILA ALMEIDA RABELO - ADVOGADOS ASSOCIADOS,socio_to_company,52
WELLINGTON EDUARDO FERREIRA,CORRETAGEM DE SEGUROS TITO LTDA,socio_to_company,49
FERNANDO ALVES VIEIRA,GIOM PARTICIPACOES S.A.,socio_to_company,16
GERALDA REGINA DE SOUZA,SKINA SUPERMERCADO LTDA,socio_to_company,49
HENRIQUE MOURA VORCARO,SHINE BAZAR E COSMETICOS LTDA,socio_to_company,49
JULIO LOURENCO NETO,A3 SERVICOS DE PUBLICIDADE E COMUNICACAO LTDA,socio_to_company,49
NATALIA BUENO VORCARO ZETTEL,L.P. DE MELLO VESTUARIO LTDA,socio_to_company,49
RODRIGO CAMARGOS DE MAGALHAES PINTO,ASSOCIACAO COMUNITARIA SOPRO DE AVIVAMENTO,socio_to_company,16
FABIO DE SOUZA MOREIRA,EFA TRANSPORTES E LOGISTICA ESPECIALIZADA EM VEICULOS LTDA,socio_to_company,49
NATALIA BUENO VORCARO ZETTEL,C E TRANSPORTES LTDA,socio_to_company,5
RODRIGO CAMARGOS DE MAGALHAES PINTO,TRILHAS DA SERRA ECO TURISMO LTDA,socio_to_company,49
HENRIQUE MOURA VORCARO,MERCATO CONSULTORIA IMOBILIARIA LTDA.,socio_to_company,5
ALLIANCE PARTICIPACOES S/A,MERCATO CONSULTORIA IMOBILIARIA LTDA.,socio_to_company,22
MULTIPAR EMPREENDIMENTOS E PARTICIPACOES S.A.,MERCATO CONSULTORIA IMOBILIARIA LTDA.,socio_to_company,22
ALINE BUENO RIBEIRO VORCARO,ASSOCIACAO COMUNITARIA JACARE,socio_to_company,16
GERALDA REGINA DE SOUZA,ARTE & ACABAMENTO GRAFICO LTDA,socio_to_company,49
JOSE CARLOS ISIDORO AVELINO,MERCEARIA GARCIA & RODRIGUES LTDA,socio_to_company,22
